supplier,rate_card_key,decoration_method,applies_to,artwork_size_label,stitch_count_min,stitch_count_max,min_qty,max_qty,unit_cost,setup_cost,repeat_setup_cost,pricing_basis,price_status,surcharge_note,source_row_number,raw_price
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,2001,3000,400,499,3.40,75.00,,per_stitch_band,priced,Some items +$1.90/unit,293,$3.40
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,2001,3000,500,599,3.15,75.00,,per_stitch_band,priced,Some items +$1.90/unit,293,$3.15
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,2001,3000,600,699,2.90,75.00,,per_stitch_band,priced,Some items +$1.90/unit,293,$2.90
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,2001,3000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,293,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,3001,4000,25,49,6.00,75.00,,per_stitch_band,priced,Some items +$1.90/unit,294,$6.00
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,3001,4000,50,99,4.95,75.00,,per_stitch_band,priced,Some items +$1.90/unit,294,$4.95
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,3001,4000,100,199,4.45,75.00,,per_stitch_band,priced,Some items +$1.90/unit,294,$4.45
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,3001,4000,200,299,4.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,294,$4.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,3001,4000,300,399,3.90,75.00,,per_stitch_band,priced,Some items +$1.90/unit,294,$3.90
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,3001,4000,400,499,3.65,75.00,,per_stitch_band,priced,Some items +$1.90/unit,294,$3.65
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,3001,4000,500,599,3.40,75.00,,per_stitch_band,priced,Some items +$1.90/unit,294,$3.40
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,3001,4000,600,699,3.15,75.00,,per_stitch_band,priced,Some items +$1.90/unit,294,$3.15
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,3001,4000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,294,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,4001,5000,25,49,6.40,75.00,,per_stitch_band,priced,Some items +$1.90/unit,295,$6.40
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,4001,5000,50,99,5.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,295,$5.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,4001,5000,100,199,4.70,75.00,,per_stitch_band,priced,Some items +$1.90/unit,295,$4.70
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,4001,5000,200,299,4.45,75.00,,per_stitch_band,priced,Some items +$1.90/unit,295,$4.45
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,4001,5000,300,399,4.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,295,$4.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,4001,5000,400,499,3.90,75.00,,per_stitch_band,priced,Some items +$1.90/unit,295,$3.90
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,4001,5000,500,599,3.65,75.00,,per_stitch_band,priced,Some items +$1.90/unit,295,$3.65
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,4001,5000,600,699,3.40,75.00,,per_stitch_band,priced,Some items +$1.90/unit,295,$3.40
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,4001,5000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,295,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,5001,6000,25,49,6.80,75.00,,per_stitch_band,priced,Some items +$1.90/unit,296,$6.80
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,5001,6000,50,99,5.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,296,$5.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,5001,6000,100,199,4.95,75.00,,per_stitch_band,priced,Some items +$1.90/unit,296,$4.95
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,5001,6000,200,299,4.70,75.00,,per_stitch_band,priced,Some items +$1.90/unit,296,$4.70
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,5001,6000,300,399,4.45,75.00,,per_stitch_band,priced,Some items +$1.90/unit,296,$4.45
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,5001,6000,400,499,4.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,296,$4.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,5001,6000,500,599,3.90,75.00,,per_stitch_band,priced,Some items +$1.90/unit,296,$3.90
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,5001,6000,600,699,3.65,75.00,,per_stitch_band,priced,Some items +$1.90/unit,296,$3.65
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,5001,6000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,296,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,6001,7000,25,49,7.15,75.00,,per_stitch_band,priced,Some items +$1.90/unit,297,$7.15
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,6001,7000,50,99,5.75,75.00,,per_stitch_band,priced,Some items +$1.90/unit,297,$5.75
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,6001,7000,100,199,5.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,297,$5.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,6001,7000,200,299,4.95,75.00,,per_stitch_band,priced,Some items +$1.90/unit,297,$4.95
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,6001,7000,300,399,4.70,75.00,,per_stitch_band,priced,Some items +$1.90/unit,297,$4.70
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,6001,7000,400,499,4.45,75.00,,per_stitch_band,priced,Some items +$1.90/unit,297,$4.45
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,6001,7000,500,599,4.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,297,$4.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,6001,7000,600,699,3.90,75.00,,per_stitch_band,priced,Some items +$1.90/unit,297,$3.90
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,6001,7000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,297,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,7001,8000,25,49,7.55,75.00,,per_stitch_band,priced,Some items +$1.90/unit,298,$7.55
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,7001,8000,50,99,6.00,75.00,,per_stitch_band,priced,Some items +$1.90/unit,298,$6.00
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,7001,8000,100,199,5.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,298,$5.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,7001,8000,200,299,5.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,298,$5.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,7001,8000,300,399,4.95,75.00,,per_stitch_band,priced,Some items +$1.90/unit,298,$4.95
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,7001,8000,400,499,4.70,75.00,,per_stitch_band,priced,Some items +$1.90/unit,298,$4.70
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,7001,8000,500,599,4.45,75.00,,per_stitch_band,priced,Some items +$1.90/unit,298,$4.45
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,7001,8000,600,699,4.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,298,$4.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,7001,8000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,298,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,8001,9000,25,49,8.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,299,$8.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,8001,9000,50,99,6.25,75.00,,per_stitch_band,priced,Some items +$1.90/unit,299,$6.25
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,8001,9000,100,199,5.75,75.00,,per_stitch_band,priced,Some items +$1.90/unit,299,$5.75
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,8001,9000,200,299,5.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,299,$5.50
