supplier,rate_card_key,decoration_method,applies_to,applies_to_category,applies_to_subcategory,is_default_for_scope,fallback_policy,pricing_model,frontend_pricing_model,supplier_formula_base_stitches,supplier_formula_stitch_increment,supplier_formula_increment_unit_cost,supplier_formula_note,setup_cost,repeat_setup_cost,surcharge_cost,surcharge_label,notes
Gear For Life,transfer_printing_bags,Transfer Printing,Bags,Bags,,true,when_no_product_specific_option,size_qty_matrix,source_rate_card,,,,,55.00,,,,"Transfer Printing - Bags (Full Colour Transfer, priced by size). Default for bag products when no product-specific decoration method is supplied."
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,,false,manual_review,stitch_count_qty,supplier_embroidery_formula,5000,1000,0.50,"Gear For Life embroidery rule only: start from 5,000 stitches; each additional 1,000 stitches adds $0.50 per unit. Supplier matrix retained for audit.",75.00,,1.90,Some items +$1.90/unit,Embroidery by stitch count and quantity. Logo setup $75/logo.
