style,brand,main,n_gallery,gallery_urls
64V00L,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/64v00l/64v00l-azalea-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/64v00l/64v00l-azalea-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/64v00l/64v00l-azalea-02.webp
65000B,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/65000b/65000b-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/65000b/65000b-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/65000b/65000b-black-02.webp
65000L,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/65000l/65000l-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/65000l/65000l-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/65000l/65000l-black-02.webp
65ENLB0,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/65enlb0/65enlb0-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/65enlb0/65enlb0-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/65enlb0/65enlb0-black-02.webp
8800B,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/8800b/8800b-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/8800b/8800b-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/8800b/8800b-black-02.webp
H000,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/h000/h000-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/h000/h000-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/h000/h000-black-02.webp
SF000,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/sf000/sf000-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/sf000/sf000-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/sf000/sf000-black-02.webp
SF500,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/sf500/sf500-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/sf500/sf500-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/sf500/sf500-black-02.webp
SF500B,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/sf500b/sf500b-black-front.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/sf500b/sf500b-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/sf500b/sf500b-black-02.webp
18600B,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18600b/18600b-black-01.webp,1,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/18600b/18600b-black-01.webp
2000B,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2000b/2000b-black-01.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2000b/2000b-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2000b/2000b-black-02.webp
2400B,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2400b/2400b-69986.webp,1,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/2400b/2400b-69986.webp
5400B,Gildan,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5400b/5400b-black-01.webp,2,https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5400b/5400b-black-01.webp;https://pub-fbec7c9199f04af8ab95a413a4620d37.r2.dev/suppliers/gildan/products/_variants/w400/5400b/5400b-black-02.webp
