slug,page_type,source_type,source_label,filter_type,required_product_fields,product_filter
custom-sunglasses-australia,product_category,subcategory,Outdoor & Sports > Sunglasses,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Sunglasses""}"
picnic-blankets-australia,product_category,subcategory,Outdoor & Sports > Blankets,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Blankets""}"
custom-supporter-gear-australia,product_category,subcategory,Outdoor & Sports > Supporter Gear,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Supporter Gear""}"
custom-kitchenware-australia,product_category,subcategory,Home & Living > Kitchen & Dining,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Home & Living"",""subcategory"":""Kitchen & Dining""}"
cheese-boards-australia,product_category,subcategory,Home & Living > Cheese & Serving Boards,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Home & Living"",""subcategory"":""Cheese & Serving Boards""}"
promotional-home-decor-australia,product_category,subcategory,Home & Living > Home Decor,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Home & Living"",""subcategory"":""Home Decor""}"
candles-and-diffusers-australia,product_category,subcategory,Home & Living > Candles & Diffusers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Home & Living"",""subcategory"":""Candles & Diffusers""}"
custom-luggage-tags-australia,product_category,subcategory,Travel > Luggage Tags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Luggage Tags""}"
passport-holders-australia,product_category,subcategory,Travel > Passport Holders,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Passport Holders""}"
travel-wallets-australia,product_category,subcategory,Travel > Travel Wallets,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Travel Wallets""}"
travel-pillows-australia,product_category,subcategory,Travel > Travel Pillows & Comfort,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Travel Pillows & Comfort""}"
travel-accessories-australia,product_category,subcategory,Travel > Travel Accessories,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Travel Accessories""}"
custom-multi-tools-australia,product_category,subcategory,Tools & Auto > Multi-Tools,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Multi-Tools""}"
custom-tape-measures-australia,product_category,subcategory,Tools & Auto > Tape Measures,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Tape Measures""}"
custom-torches-australia,product_category,subcategory,Tools & Auto > Torches & Lights,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Torches & Lights""}"
tool-sets-australia,product_category,subcategory,Tools & Auto > Tool Sets & Screwdrivers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Tool Sets & Screwdrivers""}"
car-accessories-australia,product_category,subcategory,Tools & Auto > Car Accessories,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Car Accessories""}"
custom-coasters-australia,product_category,subcategory,Barware & Accessories > Coasters,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Coasters""}"
custom-bottle-openers-australia,product_category,subcategory,Barware & Accessories > Bottle Openers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Bottle Openers""}"
custom-stubby-holders-australia,product_category,subcategory,Barware & Accessories > Stubby Holders,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Stubby Holders""}"
custom-bar-mats-australia,product_category,subcategory,Barware & Accessories > Bar Mats,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Bar Mats""}"
branded-wine-accessories-australia,product_category,subcategory,Barware & Accessories > Wine Accessories,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Wine Accessories""}"
bar-accessories-australia,product_category,subcategory,Barware & Accessories > Bar Accessories,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Bar Accessories""}"
custom-metal-keyrings-australia,product_category,subcategory,Key Rings > Metal Keyrings,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Key Rings"",""subcategory"":""Metal Keyrings""}"
leather-keyrings-australia,product_category,subcategory,Key Rings > Leather Keyrings,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Key Rings"",""subcategory"":""Leather Keyrings""}"
silicone-keyrings-australia,product_category,subcategory,Key Rings > Silicone & PVC Keyrings,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Key Rings"",""subcategory"":""Silicone & PVC Keyrings""}"
eco-keyrings-australia,product_category,subcategory,Key Rings > Eco Keyrings,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Key Rings"",""subcategory"":""Eco Keyrings""}"
functional-keyrings-australia,product_category,subcategory,Key Rings > Functional Keyrings,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Key Rings"",""subcategory"":""Functional Keyrings""}"
novelty-keyrings-australia,product_category,subcategory,Key Rings > Novelty Keyrings,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Key Rings"",""subcategory"":""Novelty Keyrings""}"
custom-feather-flags-australia,product_category,subcategory,Flags & Displays > Feather & Teardrop Flags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Flags & Displays"",""subcategory"":""Feather & Teardrop Flags""}"
pull-up-banners-australia,product_category,subcategory,Flags & Displays > Pull Up Banners,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Flags & Displays"",""subcategory"":""Pull Up Banners""}"
media-walls-australia,product_category,subcategory,Flags & Displays > Media Walls,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Flags & Displays"",""subcategory"":""Media Walls""}"
custom-marquees-australia,product_category,subcategory,Flags & Displays > Marquees,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Flags & Displays"",""subcategory"":""Marquees""}"
custom-table-covers-australia,product_category,subcategory,Flags & Displays > Table Covers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Flags & Displays"",""subcategory"":""Table Covers""}"
a-frame-signage-australia,product_category,subcategory,Flags & Displays > A-Frames & Signage,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Flags & Displays"",""subcategory"":""A-Frames & Signage""}"
custom-stickers-australia,product_category,subcategory,Marketing Materials > Labels & Stickers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Marketing Materials"",""subcategory"":""Labels & Stickers""}"
resin-labels-australia,product_category,subcategory,Marketing Materials > Resin Labels,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Marketing Materials"",""subcategory"":""Resin Labels""}"
business-cards-australia,product_category,subcategory,Marketing Materials > Business Cards,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Marketing Materials"",""subcategory"":""Business Cards""}"
branded-notebooks-australia,product_category,subcategory,Office & Desk > Notebooks,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Office & Desk"",""subcategory"":""Notebooks""}"
custom-note-pads-australia,product_category,subcategory,Office & Desk > Note Pads,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Office & Desk"",""subcategory"":""Note Pads""}"
custom-planners-australia,product_category,subcategory,Office & Desk > Pads & Planners,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Office & Desk"",""subcategory"":""Pads & Planners""}"
custom-sticky-notes-australia,product_category,subcategory,Office & Desk > Sticky Notes,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Office & Desk"",""subcategory"":""Sticky Notes""}"
custom-stationery-australia,product_category,subcategory,Office & Desk > Stationery,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Office & Desk"",""subcategory"":""Stationery""}"
desk-accessories-australia,product_category,subcategory,Office & Desk > Desk Items,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Office & Desk"",""subcategory"":""Desk Items""}"
custom-compendiums-australia,product_category,subcategory,Office & Desk > Portfolios & Compendiums,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Office & Desk"",""subcategory"":""Portfolios & Compendiums""}"
custom-pencil-cases-australia,product_category,subcategory,Office & Desk > Pencil Cases,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Office & Desk"",""subcategory"":""Pencil Cases""}"
custom-rulers-australia,product_category,subcategory,Office & Desk > Rulers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Office & Desk"",""subcategory"":""Rulers""}"
custom-tote-bags-australia,product_category,subcategory,Bags > Tote Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Tote Bags""}"
custom-cotton-tote-bags-australia,product_category,manual,Bags > Cotton Tote Bags,compound,category; is_published; material_tags,"{""type"":""compound"",""category"":""Bags"",""material"":""Cotton""}"
custom-cooler-bags-australia,product_category,subcategory,Bags > Cooler Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Cooler Bags""}"
custom-backpacks-australia,product_category,subcategory,Bags > Backpacks,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Backpacks""}"
custom-paper-bags-australia,product_category,subcategory,Bags > Paper Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Paper Bags""}"
custom-drawstring-bags-australia,product_category,subcategory,Bags > Drawstring Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Drawstring Bags""}"
custom-duffle-bags-australia,product_category,subcategory,Bags > Travel & Duffle Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Travel & Duffle Bags""}"
custom-toiletry-bags-australia,product_category,subcategory,Bags > Toiletry Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Toiletry Bags""}"
jute-bags-australia,product_category,subcategory,Bags > Jute Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Jute Bags""}"
custom-laptop-bags-australia,product_category,subcategory,Bags > Laptop Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Laptop Bags""}"
wine-carriers-australia,product_category,subcategory,Bags > Wine Carriers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Wine Carriers""}"
crossbody-bags-australia,product_category,subcategory,Bags > Crossbody & Belt Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Crossbody & Belt Bags""}"
satchel-bags-australia,product_category,subcategory,Bags > Satchel Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Satchel Bags""}"
dry-bags-australia,product_category,subcategory,Bags > Dry Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Bags"",""subcategory"":""Dry Bags""}"
custom-t-shirts-australia,product_category,subcategory,Apparel > T-Shirts,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""T-Shirts""}"
custom-polo-shirts-australia,product_category,subcategory,Apparel > Polo Shirts,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Polo Shirts""}"
custom-hoodies-australia,product_category,subcategory,Apparel > Hoodies,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Hoodies""}"
custom-sweatshirts-australia,product_category,subcategory,Apparel > Sweatshirts,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Sweatshirts""}"
custom-jackets-australia,product_category,subcategory,Apparel > Jackets,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Jackets""}"
custom-shirts-australia,product_category,subcategory,Apparel > Shirts,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Shirts""}"
custom-vests-australia,product_category,subcategory,Apparel > Vests,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Vests""}"
workwear-pants-and-shorts-australia,product_category,subcategory,Apparel > Pants & Shorts,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Pants & Shorts""}"
branded-workwear-australia,product_category,manual,Apparel > Workwear,compound,category; is_published; tags,"{""type"":""compound"",""category"":""Apparel"",""tags"":[""workwear""]}"
custom-teamwear-australia,product_category,manual,Apparel > Teamwear,compound,category; is_published; tags,"{""type"":""compound"",""category"":""Apparel"",""tags"":[""teamwear""]}"
custom-aprons-australia,product_category,subcategory,Apparel > Aprons,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Aprons""}"
custom-socks-australia,product_category,subcategory,Apparel > Socks,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Socks""}"
branded-scarves-and-accessories-australia,product_category,subcategory,Apparel > Scarves & Accessories,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Apparel"",""subcategory"":""Scarves & Accessories""}"
custom-drink-bottles-australia,product_category,subcategory,Drinkware > Drink Bottles,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Drinkware"",""subcategory"":""Drink Bottles""}"
custom-coffee-cups-australia,product_category,subcategory,Drinkware > Coffee Cups,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Drinkware"",""subcategory"":""Coffee Cups""}"
custom-travel-mugs-australia,product_category,subcategory,Drinkware > Travel Mugs,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Drinkware"",""subcategory"":""Travel Mugs""}"
custom-tumblers-australia,product_category,subcategory,Drinkware > Tumblers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Drinkware"",""subcategory"":""Tumblers""}"
custom-mugs-australia,product_category,subcategory,Drinkware > Mugs,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Drinkware"",""subcategory"":""Mugs""}"
branded-glassware-australia,product_category,subcategory,Drinkware > Glassware,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Drinkware"",""subcategory"":""Glassware""}"
custom-flasks-australia,product_category,subcategory,Drinkware > Flasks,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Drinkware"",""subcategory"":""Flasks""}"
custom-teaware-australia,product_category,subcategory,Drinkware > Teaware,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Drinkware"",""subcategory"":""Teaware""}"
custom-ballpoint-pens-australia,product_category,subcategory,Pens > Ballpoint Pens,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Pens"",""subcategory"":""Ballpoint Pens""}"
custom-metal-pens-australia,product_category,manual,Pens > Metal Pens,compound,category; is_published; material_tags,"{""type"":""compound"",""category"":""Pens"",""material"":""Metal""}"
custom-plastic-pens-australia,product_category,manual,Pens > Plastic Pens,compound,category; is_published; material_tags,"{""type"":""compound"",""category"":""Pens"",""material"":""Plastic""}"
custom-stylus-pens-australia,product_category,subcategory,Pens > Stylus Pens,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Pens"",""subcategory"":""Stylus Pens""}"
custom-highlighters-australia,product_category,subcategory,Pens > Highlighters,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Pens"",""subcategory"":""Highlighters""}"
custom-markers-australia,product_category,subcategory,Pens > Markers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Pens"",""subcategory"":""Markers""}"
eco-pens-australia,product_category,manual,Pens > Eco Pens,compound,category; is_eco; is_published,"{""type"":""compound"",""category"":""Pens"",""is_eco"":true}"
custom-pencils-australia,product_category,subcategory,Pens > Pencils,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Pens"",""subcategory"":""Pencils""}"
custom-power-banks-australia,product_category,subcategory,Technology > Power Banks,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Technology"",""subcategory"":""Power Banks""}"
custom-bluetooth-speakers-australia,product_category,subcategory,Technology > Bluetooth Speakers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Technology"",""subcategory"":""Bluetooth Speakers""}"
custom-earbuds-australia,product_category,subcategory,Technology > Earbuds & Headphones,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Technology"",""subcategory"":""Earbuds & Headphones""}"
custom-charging-cables-australia,product_category,subcategory,Technology > Charging Cables & Chargers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Technology"",""subcategory"":""Charging Cables & Chargers""}"
wireless-chargers-australia,product_category,subcategory,Technology > Wireless Chargers,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Technology"",""subcategory"":""Wireless Chargers""}"
custom-phone-accessories-australia,product_category,subcategory,Technology > Phone Accessories,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Technology"",""subcategory"":""Phone Accessories""}"
custom-usb-drives-australia,product_category,subcategory,Technology > USB Flash Drives,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Technology"",""subcategory"":""USB Flash Drives""}"
