slug,page_type,source_type,source_label,filter_type,required_product_fields,product_filter
custom-face-masks-australia,product_category,subcategory,Personal Care > Face Masks,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Personal Care"",""subcategory"":""Face Masks""}"
sunscreen-australia,product_category,subcategory,Personal Care > Sunscreen & Lotions,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Personal Care"",""subcategory"":""Sunscreen & Lotions""}"
first-aid-kits-australia,product_category,subcategory,Personal Care > First Aid,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Personal Care"",""subcategory"":""First Aid""}"
manicure-sets-australia,product_category,subcategory,Personal Care > Manicure Sets,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Personal Care"",""subcategory"":""Manicure Sets""}"
compact-mirrors-australia,product_category,subcategory,Personal Care > Mirrors & Beauty Accessories,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Personal Care"",""subcategory"":""Mirrors & Beauty Accessories""}"
bath-and-body-gifts-australia,product_category,subcategory,Personal Care > Bath & Body,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Personal Care"",""subcategory"":""Bath & Body""}"
grooming-products-australia,product_category,subcategory,Personal Care > Grooming,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Personal Care"",""subcategory"":""Grooming""}"
custom-pet-accessories-australia,product_category,subcategory,Pet > Pet Accessories,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Pet"",""subcategory"":""Pet Accessories""}"
promotional-confectionery-australia,product_category,category,Confectionery,category,category; is_published,"{""type"":""category"",""category"":""Confectionery""}"
custom-stress-balls-australia,product_category,subcategory,Toys & Games > Stress Balls & Toys,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Toys & Games"",""subcategory"":""Stress Balls & Toys""}"
custom-plush-toys-australia,product_category,subcategory,Toys & Games > Plush Toys,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Toys & Games"",""subcategory"":""Plush Toys""}"
wooden-toys-and-models-australia,product_category,subcategory,Toys & Games > Wooden Toys & Models,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Toys & Games"",""subcategory"":""Wooden Toys & Models""}"
custom-games-and-puzzles-australia,product_category,subcategory,Toys & Games > Games & Puzzles,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Toys & Games"",""subcategory"":""Games & Puzzles""}"
outdoor-toys-australia,product_category,subcategory,Toys & Games > Outdoor Toys,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Toys & Games"",""subcategory"":""Outdoor Toys""}"
colouring-sets-australia,product_category,subcategory,Toys & Games > Colouring & Kids Sets,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Toys & Games"",""subcategory"":""Colouring & Kids Sets""}"
novelty-toys-australia,product_category,subcategory,Toys & Games > Novelty Toys,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Toys & Games"",""subcategory"":""Novelty Toys""}"
custom-merch-kits-australia,collection,collection,Custom Merch Kits,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""employee_onboarding"",""conference_event"",""office_school"",""wellness_care"",""beach_outdoor"",""food_drink_gifting"",""eco_sustainable"",""tech_gift_set"",""premium_corporate_gift"",""general_corporate_gifting""],""offer_types"":[""prebuilt_kit"",""prebuilt_bundle"",""gift_set"",""hamper"",""custom_kit_template""],""include_all_kit_candidates"":true}"
employee-onboarding-kits-australia,collection,collection,Employee Onboarding Kits,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""employee_onboarding"",""office_school""],""offer_types"":[""prebuilt_kit"",""prebuilt_bundle"",""gift_set"",""custom_kit_template""]}"
conference-event-kits-australia,collection,collection,Conference & Event Kits,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""conference_event""],""offer_types"":[""prebuilt_kit"",""prebuilt_bundle"",""gift_set"",""custom_kit_template""]}"
corporate-gift-sets-australia,collection,collection,Corporate Gift Sets,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""food_drink_gifting"",""general_corporate_gifting"",""premium_corporate_gift""],""offer_types"":[""gift_set"",""hamper"",""prebuilt_kit"",""custom_kit_template""]}"
wellness-gift-packs-australia,collection,collection,Wellness Gift Packs,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""wellness_care""],""offer_types"":[""prebuilt_kit"",""gift_set"",""custom_kit_template""]}"
eco-merch-kits-australia,collection,collection,Eco Merch Kits,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""eco_sustainable""],""offer_types"":[""prebuilt_kit"",""gift_set"",""custom_kit_template""]}"
tech-gift-sets-australia,collection,collection,Tech Gift Sets,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""tech_gift_set""],""offer_types"":[""gift_set"",""prebuilt_kit"",""custom_kit_template""]}"
outdoor-event-kits-australia,collection,collection,Outdoor Event Kits,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""beach_outdoor""],""offer_types"":[""prebuilt_kit"",""gift_set"",""custom_kit_template""]}"
new-home-gift-kits-australia,landing,collection,New Home Gift Kits,kit_template,is_published; kit_components; kit_themes; offer_type; related_categories,"{""type"":""kit_template"",""kit_themes"":[""new_home""],""offer_types"":[""custom_kit_template""],""source"":""manual_template_from_existing_categories""}"
premium-corporate-gift-sets-australia,collection,collection,Premium Corporate Gift Sets,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""premium_corporate_gift""],""offer_types"":[""gift_set"",""hamper"",""custom_kit_template""]}"
office-and-school-kits-australia,collection,collection,Office & School Kits,kit_collection,is_published; kit_themes; offer_type,"{""type"":""kit_collection"",""kit_themes"":[""office_school""],""offer_types"":[""prebuilt_kit"",""gift_set"",""custom_kit_template""]}"
