supplier,source_field,raw_category_path,sku,product_name,mapping_status,target_category,target_subcategory,confidence,rule_id,review_reason,suggested_tags,suggested_material,mapping_note
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Singlets,OWDGSS,Dri Gear Spliced Zenith Singlet - Womens,auto_mapped_by_keyword,Apparel,T-Shirts,0.9,APP-010,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Singlets,OYDGSS,Youth Dri Gear Spliced Zenith Singlet,auto_mapped_by_keyword,Apparel,T-Shirts,0.9,APP-010,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Wool,OEGMC,Merino Crew Pullover - Mens,auto_mapped_by_keyword,Apparel,Sweatshirts,0.84,APP-040,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Wool,OWEGMCI,Merino Contrast Insert Pullover – Womens,auto_mapped_by_keyword,Apparel,Sweatshirts,0.84,APP-040,,,,
Gear For Life,Categorisation + category_ /_ sub category,Clothing / Wool,OWEGMV,Merino Vest - Womens,auto_mapped_by_keyword,Apparel,Vests,0.9,APP-070,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living / Miscaneous homeware,POATB,Artisan Tasting Board Set,auto_mapped_by_keyword,Home & Living,Cheese & Serving Boards,0.88,HOME-010,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living / Miscaneous homeware,POEPS,Epicure 6 pcs Placemat Set,auto_mapped_by_keyword,Home & Living,Kitchen & Dining,0.84,HOME-020,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living / Miscellaneous Homeware,PODCS,Decadent Cocktail 10 pcs Set,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living / Miscellaneous Homeware,POEB,Event Ice Bucket,auto_mapped_by_keyword,Barware & Accessories,Bar Accessories,0.86,BAR-060,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living / Miscellaneous Homeware,POGTT,Grande Tavolo Table,auto_mapped_by_keyword,Home & Living,Kitchen & Dining,0.84,HOME-020,,,,
Gear For Life,Categorisation + category_ /_ sub category,Home & Living / Miscellaneous Homeware,PORC,Retro Cooler Box,auto_mapped_by_keyword,Packaging,Gift Boxes,0.84,PKG-010,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors,PODIGB,Dig It Garden Box,auto_mapped_by_keyword,Packaging,Gift Boxes,0.84,PKG-010,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors,POLTT,Lungo Tavolo Table,auto_mapped_by_keyword,Home & Living,Kitchen & Dining,0.84,HOME-020,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors,PONS,Nature Secateurs,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors,POOMTT,Ombrello Tavolo Table,auto_mapped_by_keyword,Home & Living,Kitchen & Dining,0.84,HOME-020,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors,POTT,Tavolo Table,auto_mapped_by_keyword,Home & Living,Kitchen & Dining,0.84,HOME-020,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors,POWBC,Wave Beach Chair,auto_mapped_by_keyword,Outdoor & Sports,Camping & Outdoors,0.84,OUT-080,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors / Coolers,IGOISB,On-Ice 21L Sound Box,auto_mapped_by_keyword,Packaging,Gift Boxes,0.84,PKG-010,,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors / Coolers,POPIB,Polar Ice 7.2L Bucket,needs_review,,,,,no high-confidence keyword match,,,
Gear For Life,Categorisation + category_ /_ sub category,Leisure & Outdoors / Coolers,POVCB,Vintage Cooler Box,auto_mapped_by_keyword,Packaging,Gift Boxes,0.84,PKG-010,,,,
Logoline,Collection + Category + SubCategory,"Bags / Bamboo Bags / 100gsm,100gsm",LL514,Short Handle Bamboo Bag,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,"Bags / Bamboo Bags / 100gsm,100gsm",LL515,Long Handle Bamboo Bag,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,"Bags / Bamboo Bags / 100gsm,100gsm",LL516,Giant Bamboo Bag,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,Bags / Colour-In Bags,LL531,Get Crafty Folding Calico Bag and Crayons,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,Bags / Colour-In Bags,LL5520,Colouring Short Handle Cotton Bag & Crayons,auto_mapped_by_keyword,Apparel,Pants & Shorts,0.9,APP-080,,,,
Logoline,Collection + Category + SubCategory,Bags / Colour-In Bags,LL5521,Colouring Long Handle Cotton Bag & Crayons,auto_mapped_by_keyword,Toys & Games,Colouring & Kids Sets,0.94,TOY-060,,,,
Logoline,Collection + Category + SubCategory,Bags / Colour-In Bags,LL5522,Colouring Short Handle Calico Bag & Crayons,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,Bags / Colour-In Bags,LL5523,Colouring Short Handle Cotton Bag & Pencils,auto_mapped_by_keyword,Apparel,Pants & Shorts,0.9,APP-080,,,,
Logoline,Collection + Category + SubCategory,Bags / Colour-In Bags,LL5524,Colouring Long Handle Cotton Bag & Pencils,auto_mapped_by_keyword,Toys & Games,Colouring & Kids Sets,0.94,TOY-060,,,,
Logoline,Collection + Category + SubCategory,Bags / Gift Sets,LL8290,Eco Shopping Kit,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Gift Sets,LL8389,Expo Essentials Pack,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Non Woven Bags,LL539,Cairo Non Woven Bag - Recycled PET,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,Bags / Non Woven Bags,LL546,Paris Non Woven Bag,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,Bags / Non Woven Bags,LN538,Geneva Non Woven Bag,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,Bags / Non Woven Bags,LN541,Boston Non Woven Bag,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL4559,Montana RPET Felt Sunglass Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL517,Harvest Produce Bags in Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL524,Byron Mesh Produce Bag,auto_mapped_by_keyword,Bags,Tote Bags,0.86,BAG-030,,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL545,Malibu Handy Utility  Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7027,Montana RPET Felt Satchel,auto_mapped_by_keyword,Bags,Satchel Bags,0.9,BAG-120,,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7029,Montana RPET Felt Utility Case,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7031,Montana RPET Felt Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7043,Wallaby Neck Pouch,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7047,Sling RPET Travel Bag,auto_mapped_by_keyword,Bags,Travel & Duffle Bags,0.86,BAG-060,,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL7053,Verona Essentials Bag,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Bags / Pouches & Utility Cases,LL9631,Stow Organiser,needs_review,,,,,no high-confidence keyword match,,,
