product_code,product_name,product_url
PS3121,Silicone Slap-Band,https://www.intexglobal.com/product/silicone-slap-band/
PS3304,Nylon Foldable Flyer,https://www.intexglobal.com/product/nylon-foldable-flyer/
PS3310,Cardboard Clapper,https://www.intexglobal.com/product/cardboard-clapper/
PS9107,Small Microfibre Cleaning Cloth,https://www.intexglobal.com/product/small-microfibre-cleaning-cloth/
PS9127,Large Microfibre Cleaning Cloth,https://www.intexglobal.com/product/large-microfibre-cleaning-cloth/
PS9003,Wavy Silicone Phone Wallet,https://www.intexglobal.com/product/wavy-silicone-phone-wallet/
PAT06-04,Tin Gift Box: Rectangular With Window,https://www.intexglobal.com/product/tin-gift-box-rectangular-with-window/
PAT08,Velvet Pouch For Usb Drive,https://www.intexglobal.com/product/velvet-pouch-for-usb-drive/
PAT10-03,Clear Plastic Case: Magnetic Short,https://www.intexglobal.com/product/clear-plastic-case-magnetic-short/
PAT200,Wooden Swivel Drive,https://www.intexglobal.com/product/wooden-swivel-drive/
PAT201,Classic Swivel Drive 3.0,https://www.intexglobal.com/product/classic-swivel-drive-3-0/
PAT222,Silver Metal Swivel Drive,https://www.intexglobal.com/product/silver-metal-swivel-drive/
PS5002,Ox Usb Flash Drive,https://www.intexglobal.com/product/ox-usb-flash-drive/
PS5004,Yak Usb Flash Drive,https://www.intexglobal.com/product/yak-usb-flash-drive/
PS5023,Leopard Usb Flash Drive,https://www.intexglobal.com/product/leopard-usb-flash-drive/
PS5071,Starling Usb Flash Drive,https://www.intexglobal.com/product/starling-usb-flash-drive/
PS5092,Metal Swivel Usb Flash Drive,https://www.intexglobal.com/product/metal-swivel-usb-flash-drive/
PS5115,Credit Card Flash Drive,https://www.intexglobal.com/product/credit-card-flash-drive/
PS5302,Castle Key Drive,https://www.intexglobal.com/product/castle-key-drive/
PS5303,Whipbird Bamboo Usb Flash Drive,https://www.intexglobal.com/product/whipbird-bamboo-usb-flash-drive/
PS9004,Phone Wallet Standard No Earbud,https://www.intexglobal.com/product/phone-wallet-standard-no-earbud/
PS500X54,Microfibre Tablet Pouch,https://www.intexglobal.com/product/microfibre-tablet-pouch/
PS500X55,Microfibre Sunglass / Phone Pouch,https://www.intexglobal.com/product/microfibre-sunglass-phone-pouch/
PS9301,Bamboo Wireless Charger,https://www.intexglobal.com/product/bamboo-wireless-charger/
