supplier_sku,name,unmatched_positions,PrintArea,PriceLines
LL6954,Amore 500ml Junior Bottle - Flip Straw Lid,Rotary Screen Print: ,"Rotary Screen Print: 200 x 100mm (LxH); Laser Engrave: 30 x 50mm (LxH); Digital Print: 30 x 50mm (LxH),  Box Sleeve - 316 x 205mm (LxH); Rotary Digital Print: 220 x 115mm (LxH)",1 Col Rotary Screen Print | 1 Pos Digital Print | 1 Pos Laser Engrave | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print with ID Label on Box | Digital Sleeve on Box
LL6955,Amore 500ml Junior Bottle - Free Flow Lid,Rotary Screen Print: ,"Rotary Screen Print: 200 x 100mm (LxH); Laser Engrave: 30 x 50mm (LxH); Digital Print: 30 x 50mm (LxH),  316 x 205mm (LxH); Rotary Digital Print: 220 x 115mm (LxH)",1 Col Rotary Screen Print | 1 Pos Digital Print | 1 Pos Laser Engrave | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print with ID Label on Box | Digital Sleeve on Box
LL6956,Amore 750ml Bottle - Flip Straw Lid,Rotary Screen Print: ,"Rotary Screen Print: 200 x 150mm (LxH); Laser Engrave: 40 x 80mm (LxH); Digital Print: 30 x 90mm (LxW),  Box Sleeve - 320 x 264mm (LxH); Rotary Digital Print: 230 x 170mm (LxH)",1 Col Rotary Screen Print | 1 Pos Laser Engrave | 1 Pos Digital Print | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print with ID Label on Box | Digital Sleeve on Box
LL6957,Amore 750ml Bottle - Free Flow Lid,Rotary Screen Print: ,"Rotary Screen Print: 200 x 150mm (LxH); Laser Engrave: 40 x 80mm (LxH); Digital Print: 30 x 90mm (LxW),  Box Sleeve - 320 x 264mm (LxH); Rotary Digital Print: 230 x 170mm (LxH)",1 Col Rotary Screen Print | 1 Pos Laser Engrave | 1 Pos Digital Print | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print with ID Label on Box | Digital Sleeve on Box
LL6963,Mystique 950ml Stainless Steel Vacuum Bottle,Rotary Screen Print: ,"Laser Engraved: 32 x 90mm (LxH); Digital Print: 30 x 155mm (LxH),  Sleeve - 402 x 256 (LxH); Rotary Digital Print: Full Wrap - 285mm x 160mm (LxH); Rotary Screen Print: 260mm x 130mm (LxW)",1 Col Rotary Screen Print | 1 Pos Laser Engrave | 1 Pos Digital Print | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print with ID Label on Box | Digital Sleeve on Box
LL7041,Montana RPET Gusset Tote Bag,Digital Transfer: Small; Digital Transfer: Large,"Screenprint: 290 x 320mm (LxH); Digital Transfer: Small - 140 x 45mm (LxH),  Large - 210 x 297mm (LxH)",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer - Lrg | Variable Data - Digital Transfer
LL8038,Blast Fan,Screen Print: Fan Blade Front; Screen Print: Fan Blade Back (White Only),"Screen Print: Fan Blade Front - 120mm Diameter,  Fan Blade Back (White Only) - 120mm Diameter; Digital Label: 90mm Diameter",1 Col 1 Pos Print | 2 Col 1 Pos Print | 1 Pos Digital Label
LL8206,Bamboo A4 Clipboard,Screen Print: Front/Back; Pad Print: Front/Back,Screen Print: Front/Back - 170mm x 150mm (LxW); Laser Engrave: Front/Back - 100 x 100mm (LxW); Pad Print: Front/Back - 55mm x 55mm (LxW),1 Col 1 Pos Pad Print | 1 Col 2 Pos Pad Print | 1 Col 1 Pos Screen Print | 1 Col 2 Pos Screen Print | 1 Pos Laser Engrave | 2 Pos Laser Engrave
LL8231,The Classic Pairing,Custom Gift Box Sleeve: ; Digital Print: Customisable Card,Laser Engrave: Cheeseboard - 45 x 10mm (LxW); Custom Gift Box Sleeve: 190.5 x 730mm (LxW); Label: Mailing Carton - 120mm Diameter; Screen Print: Gift Box - 290 x 150mm (LxW); Digital Print: Customisable Card - 138 x 95mm (LxH),"The Classic Pairing | Digital Sleeve on Gift Box | 1 Pos Laser Engrave on Serving Board | 1 Pos Label on Mailing Carton | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card | Variable Data - Label, Laser Engrave or Digital Sleeve with ID Label on Shipping Box"
LL8233,The Warm Welcome,Digital Sleeve: ; Digital Print: Customisable Card,"Screen Print: Front of Candle - 50 x 50mm (LxW),  Gift Box - 290 x 150mm (LxW); Pad Print: Mug - 45 x 45mm (LxH); Digital Sleeve: 190.5 x 730mm (LxW); Label: Mailing Box - 120mm Diameter; Digital Print: Customisable Card - 138 x 95mm (LxH)","The Warm Welcome | 1 Pos Print on Each Coffee Mug Per Colour | Digital Sleeve on Gift Box | 1 Col 1 Pos Screen Print on Front of Candle | 1 Pos Label on Mailing Carton | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card | Variable Data - Customisable Card, Label or Digital Sleeve with ID Label on Shipping Box"
LL8235,Large Magnetic Gift Box,Digital Sleeve: ,Digital Sleeve: 190.5 x 730mm (LxH); Screen Print: 290 x 150mm (LxH),Digital Sleeve on Box | 1 Col 1 Pos Screen Print
LL8239,The Line Edit Acacia Serving Board,Digital Sleeve: ,Laser Engrave: 45 x 10mm (WxH); Digital Sleeve: 362 x 86mm (WxH),1 Pos Laser Engrave | Digital Sleeve on Serving Board | Variable Data - Laser Engrave or Digital Sleeve
LL8294,Espresso Coffee Cup and Speaker Pack,Screen Print: Lunch Box Front; Screen Print: Lunch Box Lid,"Pad Print: Coffee Mug - 45 x 45mm (LxH); Screenprint: Lunch Box Front - 130 x 70mm (LxH),  Lunch Box Lid - 130 x 80mm (LxH); Digital Transfer: Cooler Bag Front - 100 x 70mm (LxH); Digital Print: Speaker - Grill - 70mmDia; Laser Engraved: Speaker - Side - 20mmDia","3 Pos Print (1 Pad, 1 Digital, 1 Digital Transfer) | 1 Col Print on Coffee Cup | 1 Pos Laser Engraved on Speaker | 1 Pos Digital Print on Speaker | 1 Col Print on Bag | Digital Transfer on Bag | Variable Data on Speaker or Cooler Bag with ID Label"
LL8295,Active Living Pack,Pad Print: Protein Shaker; Digital Label: Front,"Screenprint: Dry Bag - 170 x 120mm (LxH),  Lunch Box - 185 x 185 x 70mm (LxHxD),  Protein Shaker - 70 x 70mm (LxH),  Chill Towel - 100 x 100mm (LxH) , 250 x 80mm (LxH); Digital Print: Lunch Box - 150 x 145mm (LxH); Pad Print: Protein Shaker - 50 x 40mm (LxH); Digital Label: Front - 90mm Diameter, 138 x 50mm (LxH)",4 Pos Screen Print | 1 Col Print on Dry Bag | 1 Col Print on Lunch Box | 1 Pos Digital Print on Lunch Box | 1 Col Screen on Protein Shaker | 1 Col Print on Chill Towel | 1 Pos Digital Label on Chill Towel Pouch | Variable Data on Chill Towel or Lunch Box with ID Label
LL8297,Tradeshow Pack,Digital Transfer: Front/Back; Digital Transfer: Front/Back,"Screenprint: Bag - 290 x 320mm (LxH),  Notebook - 110 x 180mm (LxH); Digital Print: Hand Sanitiser - 30 x 55mm (LxH),  Notebook - 100 x 150mm (LxH); Digital Label: Hand Sanitiser -  30 x 55mm (LxH); Pad Print: Hand Sanitiser - 27 x 50mm (LxH),  Pen - 50 x 7mm (LxH); Laser Engraved: Pen - 50 x 6mm (LxH); Digital Transfer: Front/Back - 297 x 210mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml","4 Pos Print (1 Screen + 1 Laser + 1 Label + 1 DIgital Print) | 1 Col 1 Pos Print Bag | 1 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 1 Pos Screen Print Per Colour on Notebook | 1 Pos Digital Print Notebook | 1 Pos Digital Label Hand Sanitiser | 1 Pos Digital Print Hand Sanitiser | 1 Pos Pad Print Hand Sanitiser | 1 Pos Pad Print Per Colour Pen | 1 Pos Laser Engraved Pen | Variable Data on Bag, Hand Sanitiser, Notebook or Pen with ID Label"
LL8298,Tradie Pack,Screen Print: Silicone Band,"Screenprint: Cooler Bag - 130 x 70mm (LxH),  Stubby Cooler - 70 x 70mm (LxH),  Silicone Band - 220 x 38mm (LxH); Digital Transfer: Cooler Bag - 100 x 70mm (LxH),  Stubby Cooler - 50 x 50mm (LxH); Pad Print: Bottle Opener - 20 x 12mm (LxH); Laser Engraved: Bottle Opener - 20 x 12mm (LxH)","1 Pos Print (2 x Digital Transfer, 1 x Pad Print, 1 Screen) | 1 Col Print on Cooler Bag | 1 Pos Digital Transfer on Cooler Bag | 1 Col 1 Pos Print Stubby Cooler | 1 Pos Digital Transfer Stubby Cooler | 1 Col 1 Pos Screenprint on Cup | 1 Col 1 Pos Print Bottle Opener | 1 Pos Laser Engraved Bottle Opener | Variable Data on Cooler Bag, Stubby Cooler or on Keytag"
