supplier_sku,name,unmatched_positions,PrintArea,PriceLines
LL9109,"Velocity Power Bank - 2,000 mAh",Digital Print: Power Bank,"Pad Print: Power Bank  - 60 x 13mm (LxH); Laser Engraved: Power Bank - 60 x 13mm (LxH); Digital Print: Power Bank - 80 x 13mm (LxH),  Sleeve - Full coverage,  Case - 60 x 35mm (LxH); Digital Label: Box - 70 x 40mm (LxH),  Box - Full name only for variable data identification - 30 x 55mm (LxH); Screenprint: Case - 60 x 35mm (LxH)","1 Pos Pad Print Per Colour | 1 Pos Laser Engraved | 1 Pos Digital Print | 1 Pos Digital Label on Box | LL9091 3 in 1 Combo Cable | LL6673 Small EVA Case 1 Col 1 Pos | LL6673 Small EVA Case 1 Pos Digital | Variable Data - Digital Print, Digital Sleeve or Label with ID Label on Box | Digital Sleeve on Box"
LL9111,Impulse Power Bank,Digital Print: Power Bank,"Digital Print: Power Bank - 80 x 16mm (LxH),  Case - 60 x 35mm (LxH),  Sleeve - 176 x 97mm (LxH); Pad Print: 60 x 16mm (LxH); Digital Label: Box - 70 x 40mm (LxH),  Box - Full name only for variable data identification - 30 x 55mm (LxH); Screenprint: Case - 60 x 35mm (LxH)",1 Pos Pad Print Per Colour | 1 Pos Digital Print | 1 Pos Digital Label on Box | LL9091 3 in 1 Combo Cable | LL6673 Small EVA Zipper Case | LL6673 Small EVA Zipper Case 1 Col 1 Pos | LL6673 Small EVA Zipper Case 1 Pos Digital | Variable Data - Digital Print or Digital Sleeve with ID Label on Box | Digital Sleeve on Box
LL9136,Aussie Recycled Flyer,Screen Print: Top,Screenprint: Top - 140mm Diameter; Digital Print: Top - 140mm Diameter,1 Col 1 Pos Print | 2 Col 1 Pos Print | 1 Pos Digital Print | Variable Data - Digital Print with ID Label
LL9138,Frequent Flyer,Screen Print: Top,Screen Print: Top - 140mm Diameter; Digital Print: Top - 140mm Diameter,1 Col 1 Pos Print | 2 Col 1 Pos Print | 1 Pos Digital Print | Variable Data - Digital Print with ID Label
LL9205,Dynamo Wireless Power Bank,Digital Print: Standard Power Bank,"Digital Print: Standard Power Bank - 70 x 50mm (LxH),  Edge to Edge Power Bank - 115 x 68mm (LxH),  Case - 60 x 50mm (LxH),  Sleeve - Full coverage; Pad Print: Power Bank - 50 x 50mm (LxH); Screenprint: Case - 100 x 50mm (LxH); Digital Label: Box - 90 x 45mm (LxH),  Box - Full name only for variable data identification - 30 x 55mm (LxH)",1 Pos Pad Print Per Colour | 1 Pos Digital Print | 1 Pos Digital Print - Edge to Edge | LL9091 3 in 1 Combo USB Cable | 1 Pos Digital Label on Box | LL6674 Medium EVA Case 1 Col 1 Pos | LL6674 Medium EVA Case 1 Pos Digital | Digital Sleeve on Box | Variable Data - Digital Print or Digital Sleeve with ID Label on Box
LL9209,Sabre Wireless Power Bank,Digital Print: Standard Power Bank,"Pad Print: Power Bank - 50 x 50mm (LxH); Digital Print: Standard Power Bank - 70 x 50mm (LxH),  Edge to Edge Power Bank -  136 x 71mm (LxH),  Box Sleeve - Full coverage,  Case - 60 x 50mm (LxH); Digital Label: Box - 90 x 45mm (LxH),  Box - Full name only for variable data identification - 30 x 55mm (LxH); Screenprint: Power Bank - 70 x 50mm (LxH),  Case - 100 x 50mm (LxH)","1 Pos Pad Print Per Colour | 1 Pos Digital Print | 1 Pos Digital Print - Edge to Edge | 1 Pos Digital Label on Box | Digital Sleeve on Box | LL6674 Medium EVA Case 1 Col 1 Pos | LL6674 Medium EVA Case 1 Pos Digital | Variable Data - Digital Print, Digital Sleeve or Label with ID Label on Box"
LL9211,Sabre Eco Wireless Power Bank,Pad Print: Power Bank; Digital Print: Standard Power Bank,"Pad Print: Power Bank - 60 x 50mm (LxH); Digital Print: Standard Power Bank - 70 x 50mm (LxH),  Edge to Edge Power Bank - 150 x 71mm (LxH),  Box Sleeve - 226 x 154mm (LxH); Digital Label: Box - 90 x 45mm (LxH),  Box - Full name only for variable data identification - 30 x 55mm (LxH)","1 Pos Pad Print Per Colour | 1 Pos Digital Print | 1 Pos Digital Print - Edge to Edge | 1 Pos Digital Label on Box | Digital Sleeve on Box | LL6674 Medium EVA Zipper Case 1 Col 1 Pos Print | LL6674 Medium EVA Zipper Case 1 Pos Digital | Variable Data - Digital Print, Digital Sleeve or Label with ID Label on Box"
LL9213,"Octavius 8,000mAh Power Bank",Digital Print: Power Bank,"Pad Print: Power Bank - 60 x 40mm (LxH); Digital Print: Power Bank - 80 x 40mm (LxH),  Sleeve - Full coverage ,  Case  - 60 x 50mm (LxH); Laser Engraved: Power Bank - 80 x 40mm (LxH); Digital Label: Box  - 90 x 45mm (LxH),  Box - Full name only for variable data identification - 30 x 55mm (LxH); Screenprint: Case - 100 x 50mm (LxH)","1 Pos Pad Print Per Colour | Laser Engraved 1 Pos | 1 Pos Digital Print | 1 Pos Digital Label on Box | Digital Sleeve on Box | LL6674 Medium EVA Zipper Case 1 Col 1 Pos | LL6674 Medium EVA Zipper Case 1 Pos Digital | Variable Data - Digital Print, Digital Sleeve, Label or Laser Engravewith ID Label"
LL9215,"Arya 5,000mAh Power Bank",Digital Print: Power Bank,"Digital Print: Power Bank - 70 x 40mm (LxH),  LL6674 Front/Back - 60 x 50mm (LxH),  Sleeve - 179 x 115mm (LxH); Pad Print: Power Bank - 60 x 50mm (LxH); Screenprint: LL6674 Front/Back - 100 x 50mm (LxH); Digital Label: Box - 70 x 40 (LxH),  Box - Full name only for variable data identification - 30 x 55mm (LxH)","1 Pos Pad Print Per Colour | 1 Pos Digital Print | 1 Pos Digital Label on Box | Digital Sleeve on Box | Variable Data - Digital Print, Digital Sleeve or Label with ID Label on Box | LL6674 Medium EVA Case 1 Col 1 Pos | LL6674 Medium EVA Case 1 Pos Digital"
LL9216,Leopard Power Bank,Label: Box,Digital Print: Front - 100mm x 50mm (LxW); Pad Print: Front 50mm x 50mm (LxW); Laser: Front - 100mm x 50mm (LxW); Label: Box - 50mm x 50mm (LxW),1 Pos Pad Print Per Colour | 1 Pos Digital Print | 1 Pos Laser Engrave | 1 Pos Digital Label on Box | Variable Data - Digital Print or Laser Engrave with ID Label on Box
LL9217,Ortega Power Bank,Label: Box,"Digital Print: Top - 100 x 50mm (LxW),  Box Sleeve - 299mm x 150mm (LxH); Pad Print: Top - 50 x 50mm (LxW); Laser Engrave: Top - 100 x 50mm (LxW); Label: Box - 50 x 50mm (LxW)","1 Pos Pad Print Per Colour | 1 Pos Digital Print | 1 Pos Laser Engrave | Variable Data - Digital Print, Laser Engrave or Digital Sleeve with ID Label on Box | Digital Sleeve on Box"
LL9242,Hyper Bluetooth Headphones in EVA Zipper Case,Pad Print: Ear Muff,Pad Print: Ear Muff - 50mm Diameter; Digital Print: Ear Muff - 50mm Diameter; Screen Print: EVA Case - 40 x 60mm (LxW),1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Print | 2 Pos Digital Print | EVA Zipper Case 1 Col 1 Pos Print | Variable Data - Digital Print with ID Label
LL9268,Halo Phone Grip & Stand,Digital Print: ,"Digital Print: 19mmDia; Pad Print: 19mmDia; Digital Backing Card: A6 Card - 148.5 x 105mm (LxH),  Card - 100 x 75mm (LxH)",1 Col 1 Pos Print | 1 Pos Digital Print | Variable Data - Digital Print with ID Label | 1 Pos Digital Print on Backing Card | 2 Pos Digital Print on Backing Card
LL9355,Shield Data Blocker,Digital Print: Top,"Laser Engraved: Top - 24 x 11mm (LxH); Digital Print: Top - 24 x 11mm (LxH),  Backing Card - 100 x 75mm (LxH)",1 Pos Laser Engraved | 1 Pos Digital Print | 1 Pos Digital Print on Backing Card | 2 Pos Digital Print on Backing Card | Variable Data - Digital Print or Laser Engraved with ID Label
LL9404,Family Light Up  3 in 1 Cable,Digital Print: Front; Pad Print: LL6673 Case,"Digital Print: Front - 25 x 20mm (LxH) (with rounded corners),  LL6673 Case - 60 x 35mm (LxH); Pad Print: LL6673 Case - 60 x 35mm (LxH)",1 Pos Digital Print | LL6673 Small EVA Zipper Case1 Col 1 Pos | LL6673 Small EVA Zipper Case 1 Pos Digital | Variable Data - Digital Print with ID Label
LL9430,Glimmer Round Glow Cable,Digital Print Backing Card: ,Laser Engraved: 26 x 13mm (LxH) (see line drawing); Screenprint: Pouch - 30 x 120 (LxH); Digital Print Backing Card: 40 x 160 (LxH),1 Pos Laser Engraved | 2 Pos Laser Engraved | LL9432 PVC Glow Cable Pouch | LL9432 PVC Glow Cable Pouch 1 Col Print | LL9432 PVC Glow Cable Pouch Digital Print Backing Card | Variable Data - Laser Engraved
LL9431,Glimmer Square Glow Cable,Digital Backing Card: ,Laser Engraved: 20 x 20mm (LxH) (rounded corners); Screenprint: Pouch - 30 x 120mm (LxH); Digital Backing Card: 40 x 160mm (LxH),1 Pos Laser Engraved | 2 Pos Laser Engraved | LL9432 PVC Glow Cable Pouch | LL9432 PVC Glow Cable Pouch 1 Col Print | LL9432 PVC Glow Cable Pouch Digital Backing Card | Variable Data - Laser Engraved
LL9434,Kinetic Round Glow Cable,Digital Print Backing Card: ,Laser Engraved: 26 x 13mm (LxH) (see line drawing); Screenprint: Pouch - 30 x 120 (LxH); Digital Print Backing Card: 40 x 160 (LxH),1 Pos Laser Engraved | 2 Pos Laser Engraved | LL9432 PVC Glow Cable Pouch | LL9432 PVC Glow Cable Pouch 1 Col Print | LL9432 PVC Glow Cable Pouch Digital Print Backing Card | Variable Data - Laser Engraved
LL9435,Kinetic Square Glow Cable,Digital Print Backing Card: ,Laser Engraved: 20 x 20mm (LxH) (see line drawing); Screenprint: Pouch - 30 x 120 (LxH); Digital Print Backing Card: 40 x 160 (LxH),1 Pos Laser Engraved | 2 Pos Laser Engraved | LL9432 PVC Glow Cable Pouch | LL9432 PVC Glow Cable Pouch 1 Col Print | LL9432 PVC Glow Cable Pouch Digital Print Backing Card | Variable Data - Laser Engraved
LL9503,Paramount Wall Charger,Box Sleeve: Box Sleeve,Pad Print: 35mm x 25mm (LxW); Digital Print: 35mm x 25mm (LxW); Box Sleeve: Box Sleeve - 169mm x 61.5mm (LxH),1 Pos Pad Print Per Colour | 1 Pos Digital Print | Digital Sleeve on Box
LL9600,Swivel USB Flash Drive,Digital Print: Top,"Laser Engraved: Top - 25 x 14mm (LxH); Digital Print: Top - 25 x 14mm (LxH),  Backing Card - A6 - 148.5 x 105mm (LxH), Card - 100 x 75mm (LxH)",1 Pos Laser Engraved | 2 Pos Laser Engraved | 1 Pos Digital Print | 2 Pos Digital Print | Variable Data - Digital Print or Laser Engrave with ID Label | 1 Pos Digital Print on Backing Card (148.5 x 105) | 2 Pos Digital Print on Backing Card (148.5 x 105)
LL9602,Bamboo USB Flash Drive,Digital Print: Top,"Pad Print: Top - 25 x 11mm (LxH); Digital Print: Top - 35 x 11mm (LxH); Laser Engraved: Top - 25 x 11mm (LxH); Digital Backing Card: A6 Card - 148.5 x 105mm (LxH),  Card - 100 x 75mm (LxH)",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Print | 2 Pos Digital Print | 1 Pos Laser Engraved | 2 Pos Laser Engraved | 1 Pos Digital Print on Backing Card - (148.5 x 105) | 2 Pos Digital Print on Backing Card - (148.5 x 105) | Variable Data - Digital Print or Laser Engrave with ID Label
LL9605,Credit Card Flash Drive,Digital Print: Front/Black,"Pad Print: Front/Back (Beside USB Lid) - 40 x 40mm (LxH),  Front (Over USB Lid) - 50 x 40mm (LxH); Digital Print: Front/Black - 85 x 54mm (LxH); Digital Print Backing Card: A6 - Card 148.5 x 105mm (LxH),  Card - 100  x 75mm (LxH)",1 Pos Pad Print Per Colour | 2 Pos Pad Print Per Colour | 1 Pos Digital Print | 2 Pos Digital Print | Variable Data - Digital Print with ID Label | 1 Pos Digital Print on Backing Card | 2 Pos Digital Print on Backing Card
LL9607,Swivel USB Flash Drive Dual 8GB,Digital Print: Top,"Laser Engraved: Top - 25 x 14mm (LxH); Digital Print: Top - 25 x 14mm (LxH),  Backing Card - A6 - 148.5 x 105mm (LxH), Card - 100 x 75mm (LxH)",1 Pos Digital Print | 2 Pos Digital Print | 1 Pos Laser Engraved | 2 Pos Laser Engraved | Variable Data - Digital Print or Laser Engrave with ID Label | 1 Pos Digital Print on Backing Card - (148.5 x 105) | 2 Pos Digital Print on Backing Card - (148.5 x 105)
LL9631,Stow Organiser,Digital Transfer: Strap End; Digital Transfer: Opposite End to Strap,"Digital Transfer: Strap End - 50mm x 50mm (LxW),  Opposite End to Strap - 150mm x 150mm (LxW))",1 Pos Digital Transfer - Small | 1 Pos Digital Transfer - Large | Variable Data - Digital Transfer
LL9777,Press Ready Transfers,Digital Transfer: ,Digital Transfer: 910 x 580mm (LxW),Price Per Sheet
